Name,Instance count,Size (bytes)
char[ ],27039,8308680
java.lang.String,22669,544056
java.lang.Object,8313,133008
int[ ],7156,5937352
byte[ ],5751,6562720
java.lang.Object[ ],4473,297968
java.lang.Class,2833,324400
java.util.HashMap$Node,2668,85376
java.util.Hashtable$Entry,2340,74880
java.util.concurrent.ConcurrentHashMap$Node,2291,73312
java.lang.Class$AnnotationData,2198,52752
java.lang.management.MemoryUsage,2130,102240
java.util.LinkedHashMap$Entry,1999,79960
xaurora.text.Token,1786,85728
java.util.ArrayList$Itr,1430,45760
java.lang.StringBuilder,1201,28824
java.util.ArrayList,1193,28632
java.lang.Long,1161,27864
java.lang.String[ ],1116,43576
java.util.TreeMap$Entry,982,39280
java.nio.HeapCharBuffer,971,46608
java.util.regex.Matcher,910,58240
java.util.regex.Pattern,905,65160
java.util.regex.Pattern$GroupHead[ ],894,50064
java.lang.Class[ ],877,20304
java.util.HashMap,760,36480
boolean[ ],733,196272
java.util.regex.Pattern$Start,727,17448
java.util.regex.Pattern$BitClass,720,17280
java.util.regex.Pattern$TreeInfo,716,17184
java.util.HashMap$Node[ ],702,60016
short[ ],673,70048
java.lang.reflect.Method,648,57024
org.apache.lucene.codecs.lucene50.Lucene50PostingsFormat$IntBlockTermState,637,61152
org.apache.lucene.codecs.blocktree.BlockTreeTermsWriter$PendingTerm,636,20352
org.apache.lucene.document.StringField,627,20064
java.nio.HeapByteBuffer,564,27072
java.util.regex.Pattern$1,554,13296
java.util.regex.Pattern$CharProperty$1,551,13224
java.util.Vector,529,16928
java.util.Hashtable$Entry[ ],513,43536
java.util.zip.ZipFile$ZipFileInflaterInputStream,506,28336
java.util.zip.ZipFile$ZipFileInputStream,506,28336
java.security.Provider$ServiceKey,494,11856
java.util.Hashtable,492,23616
java.lang.ref.SoftReference,490,19600
java.net.InetAddress$InetAddressHolder,483,15456
java.lang.ref.WeakReference,470,15040
long[ ],469,160240
com.jprofiler.agent.triggers.nanoxml.XMLElement,462,22176
java.lang.reflect.Field,440,31680
sun.nio.cs.ext.DoubleByte$Decoder,421,23576
java.math.BigInteger,409,16360
java.io.FileDescriptor,394,15760
java.util.jar.Attributes$Name,369,8856
org.apache.lucene.document.TextField,352,11264
sun.misc.FDBigInteger,341,10912
java.lang.Integer,323,5168
java.lang.ref.Finalizer,306,12240
java.io.IOException,302,9664
java.net.InetAddress,299,7176
java.io.InputStreamReader,297,7128
sun.nio.cs.StreamDecoder,297,14256
org.apache.lucene.util.BytesRef,281,6744
java.lang.Byte,273,4368
java.lang.Short,256,4096
sun.nio.fs.WindowsPath,253,10120
java.util.HashMap$KeyIterator,246,9840
sun.nio.cs.UTF_8$Decoder,239,9560
sun.security.action.GetPropertyAction,236,5664
java.util.Hashtable$Enumerator,233,11184
java.lang.StringBuffer,231,5544
java.util.regex.Pattern$Slice,227,5448
java.lang.invoke.LambdaForm$Name,225,7200
java.util.jar.Attributes,220,3520
java.security.Provider$Service,220,12320
java.lang.invoke.MemberName,219,12264
java.util.HashSet,201,3216
java.lang.Class$ReflectionData,196,10976
java.lang.ref.ReferenceQueue$Lock,196,3136
java.lang.ref.ReferenceQueue,194,6208
java.lang.reflect.Constructor,190,15200
java.util.regex.Pattern$Curly,183,5856
java.net.Inet4Address,181,4344
java.net.DualStackPlainSocketImpl,181,15928
java.net.SocksSocketImpl,181,21720
java.io.ByteArrayInputStream,179,5728
java.net.Socket,179,5728
java.util.regex.Pattern$BnM,178,5696
java.util.regex.Pattern$Single,178,4272
java.net.SocketOutputStream,177,8496
java.net.SocketInputStream,177,8496
org.apache.lucene.document.LongField,176,5632
org.apache.lucene.document.Document,176,2816
java.util.concurrent.ConcurrentHashMap,161,10304
java.util.HashMap$KeySet,155,2480
java.util.concurrent.atomic.AtomicInteger,153,2448
sun.nio.fs.WindowsPathParser$Result,140,3360
java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry,138,4416
java.lang.invoke.MethodType,137,5480
java.util.ArrayList$SubList,137,5480
sun.security.util.ObjectIdentifier,132,4224
sun.nio.cs.ext.DoubleByte$Encoder,130,8320
java.security.Provider$UString,130,3120
java.beans.MethodRef,129,3096
java.lang.Character,128,2048
sun.nio.cs.StreamEncoder,127,6096
java.io.OutputStreamWriter,127,3048
java.util.ArrayList$SubList$1,127,5080
java.util.concurrent.locks.ReentrantLock$NonfairSync,127,4064
java.lang.reflect.Method[ ],126,5600
java.io.BufferedWriter,122,4880
java.io.PrintWriter,121,4840
java.net.InetSocketAddress[ ],120,2880
java.io.BufferedReader,119,5712
java.net.Socket$3,118,1888
java.net.Socket$2,118,1888
java.net.InetSocketAddress$InetSocketAddressHolder,118,2832
java.net.InetSocketAddress,118,1888
java.util.concurrent.atomic.AtomicReferenceArray,116,1856
com.jprofiler.agent.util.a.a.b.n$m,116,7424
com.jprofiler.agent.probe.structures.o,115,4600
java.util.LinkedHashMap,106,5936
org.apache.lucene.util.fst.Builder$Arc,105,3360
org.apache.lucene.util.fst.Builder$Arc[ ],101,2440
org.apache.lucene.util.fst.Builder$UnCompiledNode,100,4800
java.lang.invoke.LambdaForm$NamedFunction,100,2400
java.lang.ref.SoftReference[ ],94,5640
sun.nio.fs.WindowsFileAttributes,91,5824
java.util.HashMap$ValueIterator,84,3360
java.lang.invoke.LambdaForm$Name[ ],79,3560
java.lang.invoke.DirectMethodHandle,77,2464
java.lang.reflect.Field[ ],77,3112
java.lang.reflect.Constructor[ ],77,1952
java.net.URL,75,4800
java.lang.invoke.LambdaForm,74,3552
java.util.Collections$UnmodifiableCollection$1,73,1752
sun.reflect.DelegatingConstructorAccessorImpl,72,1152
sun.reflect.NativeConstructorAccessorImpl,70,1680
org.apache.lucene.index.FreqProxTermsWriterPerField$FreqProxPostingsArray,68,3264
sun.security.util.DerInputStream,68,1632
sun.security.util.DerInputBuffer,68,2176
sun.security.util.DerValue,68,2176
java.beans.MethodDescriptor,67,3752
sun.security.x509.AVA,65,1560
sun.security.x509.RDN,65,1560
sun.security.x509.AVA[ ],65,1560
java.lang.Class$MethodArray,63,1512
java.util.HashMap$EntrySet,60,960
com.jprofiler.agent.util.a.b.ad,60,4320
java.nio.file.LinkOption[ ],55,896
java.util.Collections$UnmodifiableSet,54,864
java.io.ExpiringCache$Entry,54,1296
sun.nio.fs.WindowsFileAttributeViews$Basic,52,1248
java.util.concurrent.ConcurrentHashMap$Node[ ],49,22016
java.lang.invoke.MethodTypeForm,49,2744
sun.nio.ch.FileDispatcherImpl,49,784
sun.nio.fs.WindowsChannelFactory$Flags,49,1568
java.nio.ByteBuffer[ ],49,1344
sun.nio.ch.FileChannelImpl,48,3072
sun.nio.ch.NativeThreadSet,48,1152
java.nio.channels.spi.AbstractInterruptibleChannel$1,48,768
java.nio.file.OpenOption[ ],48,1032
org.apache.lucene.util.Version,47,1504
java.security.spec.ECPoint,47,1128
sun.security.ec.NamedCurve,46,1840
java.security.spec.EllipticCurve,46,1472
sun.reflect.annotation.AnnotationInvocationHandler,45,1080
java.lang.Package,44,2464
org.apache.lucene.util.packed.PackedInts$FormatAndBits,44,1056
java.util.concurrent.atomic.AtomicIntegerArray,42,672
java.util.HashMap$Values,42,672
java.util.HashMap$EntryIterator,40,1600
java.io.ObjectStreamField,40,1600
org.apache.lucene.util.fst.FST$Arc,40,2880
org.apache.lucene.util.packed.BulkOperationPacked,40,1920
java.util.WeakHashMap$Entry,39,1560
sun.util.locale.LocaleObjectCache$CacheEntry,39,1872
java.util.regex.Pattern$CharPropertyNames$1,39,624
org.apache.lucene.store.RAMFile,38,1520
org.apache.lucene.store.RAMOutputStream,38,2128
java.util.TreeMap,38,1824
java.math.BigInteger[ ],38,1184
java.util.WeakHashMap$Entry[ ],37,2960
java.lang.StackTraceElement,34,1088
java.nio.file.attribute.FileTime,32,1024
sun.misc.Cleaner,31,1240
java.util.LinkedHashMap$LinkedValues,31,496
java.beans.PropertyDescriptor,31,2232
java.util.Collections$UnmodifiableMap,30,960
sun.misc.URLClassPath$JarLoader,30,1440
com.jprofiler.agent.probe.structures.h,30,1200
java.security.Provider$EngineDescription,30,960
java.security.cert.Certificate[ ],29,688
java.security.CodeSource,29,928
java.lang.invoke.MethodHandle[ ],28,2912
java.util.WeakHashMap,28,1344
java.io.File,28,896
com.jprofiler.agent.probe.structures.MetaDataImpl,28,2240
sun.nio.fs.WindowsPath$WindowsPathWithAttributes,27,1296
java.security.Principal[ ],27,432
java.security.ProtectionDomain$Key,27,432
java.security.ProtectionDomain,27,1080
java.security.spec.ECFieldF2m,26,624
java.util.zip.CRC32,26,416
java.nio.DirectByteBufferR,25,1600
java.util.Collections$UnmodifiableRandomAccessList,25,600
org.apache.lucene.util.WeakIdentityMap$IdentityWeakReference,25,800
java.util.Date,25,600
org.apache.log4j.helpers.PatternParser$LiteralPatternConverter,25,800
java.util.concurrent.atomic.AtomicLong,24,576
sun.nio.cs.UTF_8$Encoder,24,1344
java.util.concurrent.ConcurrentHashMap$KeySetView,24,576
