"Hot spot","Allocated memory (bytes)","Allocations"
"xaurora.io.DataFileIO.readFileContent",3532008,147167
"java.lang.String.split",83208,3387
"javax.crypto.Cipher.getInstance",65088,2340
"javax.crypto.Cipher.init",30344,864
"java.nio.file.Files.readAllBytes",16992,540
"java.net.ServerSocket.accept",16512,480
"java.io.PrintWriter.<init>",11904,288
"java.lang.String.replace",9504,252
"java.security.MessageDigest.getInstance",9032,216
"java.io.BufferedReader.readLine",8064,312
"java.net.URL.<init>",5832,183
"java.nio.file.Paths.get",4896,180
"java.io.InputStreamReader.<init>",4224,96
"java.io.File.getName",2592,108
"java.net.Socket.getOutputStream",2496,96
"java.io.File.listFiles",2016,72
"java.net.Socket.getInputStream",1920,72
"xaurora.communication.ChromeServer.receiveMessage",1728,72
"xaurora.util.DataFileMetaData.<init>",1728,36
"java.io.PrintWriter.close",1152,24
"java.io.BufferedReader.<init>",1152,24
"java.io.PrintWriter.flush",1152,24
"javax.crypto.spec.SecretKeySpec.<init>",864,36
"java.lang.String.substring",864,36
"org.apache.commons.io.FilenameUtils.getExtension",864,36
"javax.crypto.spec.IvParameterSpec.<init>",576,36
"java.lang.Integer.toString",576,24
"java.lang.String.<init>",576,24
"java.lang.String.valueOf",576,24
"java.lang.String.trim",576,24
"java.lang.String.format",440,16
"org.apache.log4j.Logger.info",432,13
"java.io.File.<init>",104,4
"java.util.ArrayList.<init>",48,2
"java.util.Stack.<init>",32,1
"java.util.ArrayList.iterator",32,1
